timer                                                                               ms      calls
CODEXM_BUDA_CHECKER                                                                  0          1
__OPEN_REDIRECT_BUDA                                                                 0          1
__SQLI_BUDA_DYNAMICS                                                                 0          1
__CSRF_BUDA                                                                          0          1
__INSECURE_SALT_BUDA                                                                 0          1
__UNSAFE_REFLECTION_BUDA                                                             0          1
COOKIE_INJECTION                                                                     0          1
__SCRIPT_CODE_INJECTION_BUDA                                                         0          1
__URL_MANIPULATION_BUDA                                                              0          1
__XSS_BUDA                                                                           0          1
__SCRIPT_CODE_INJECTION_BUDA_STATICS                                                 0          1
__REGEX_INJECTION_BUDA_STATICS                                                       0          1
__HARDCODED_CREDENTIALS_BUDA_DYNAMICS                                                0          1
UNCHECKED_ORIGIN                                                                     0          1
MISSING_IFRAME_SANDBOX                                                               0          1
__RISKY_CRYPTO_BUDA                                                                  0          1
__INSUFFICIENT_LOGGING_BUDA                                                          0          1
__XML_EXTERNAL_ENTITY_BUDA_DYNAMICS                                                  0          1
__HEADER_INJECTION_JS                                                                0          1
__OS_CMD_INJECTION_BUDA                                                              0          1
DOM_XSS                                                                              0          1
LOCALSTORAGE_MANIPULATION                                                            0          1
__TAINTED_ENVIRONMENT_WITH_EXECUTION_BUDA                                            0          1
__UNSAFE_DESERIALIZATION_BUDA                                                        0          1
__PATH_MANIPULATION_BUDA_STATICS                                                     0          1
TEMPLATE_INJECTION                                                                   0          1
__HEADER_INJECTION_BUDA                                                              0          1
UNRESTRICTED_MESSAGE_TARGET                                                          0          1
__SENSITIVE_DATA_LEAK_BUDA_DYNAMICS                                                  0          1
__INSECURE_RANDOM_BUDA                                                               0          1
__MISSING_AUTHZ_BUDA_STATS                                                           0          1
__MISSING_AUTHZ_BUDA                                                                 0          1
PW_INFRASTRUCTURE                                                                    0          1
BAD_OVERRIDE                                                                         0          1
MISSING_MOVE_ASSIGNMENT                                                              0          1
CODEXM_CLASSES_STAT_PASS                                                             0          1
CONFIG.MISSING_CUSTOM_ERROR_PAGE                                                     0          1
CONFIG.UNSAFE_SESSION_TIMEOUT                                                        0          1
CONFIG.SPRING_SECURITY_SESSION_FIXATION                                              0          1
CONFIG.SPRING_SECURITY_REMEMBER_ME_HARDCODED_KEY                                     0          1
CONFIG.STRUTS2_CONFIG_BROWSER_PLUGIN                                                 0          1
CONFIG.HANA_XS_PREVENT_XSRF_DISABLED                                                 0          1
CONFIG.ATS_INSECURE                                                                  0          1
CONFIG.SYMFONY_CSRF_PROTECTION_DISABLED                                              0          1
CONFIG.COOKIES_MISSING_HTTPONLY                                                      0          1
CONFIG.DEAD_AUTHORIZATION_RULE                                                       0          1
CONFIG.ENABLED_DEBUG_MODE                                                            0          1
CONFIG.ENABLED_TRACE_MODE                                                            0          1
CONFIG.ASP_VIEWSTATE_MAC                                                             0          1
CONFIG.ASPNET_VERSION_HEADER                                                         0          1
CONFIG.DUPLICATE_SERVLET_DEFINITION                                                  0          1
CONFIG.DWR_DEBUG_MODE                                                                0          1
CONFIG.DYNAMIC_DATA_HTML_COMMENT                                                     0          1
CONFIG.JAVAEE_MISSING_HTTPONLY                                                       0          1
CONFIG.MISSING_GLOBAL_EXCEPTION_HANDLER                                              0          1
CONFIG.MISSING_JSF2_SECURITY_CONSTRAINT                                              0          1
CONFIG.SPRING_SECURITY_DEBUG_MODE                                                    0          1
CONFIG.SPRING_SECURITY_DISABLE_AUTH_TAGS                                             0          1
CONFIG.SPRING_SECURITY_HARDCODED_CREDENTIALS                                         0          1
CONFIG.STRUTS2_DYNAMIC_METHOD_INVOCATION                                             0          1
CONFIG.STRUTS2_ENABLED_DEV_MODE                                                      0          1
CONFIG.CONNECTION_STRING_PASSWORD                                                    0          1
CONFIG.HTTP_VERB_TAMPERING                                                           0          1
OVERLAPPING_COPY                                                                     0          1
UNCAUGHT_EXCEPT                                                                      0          1
